name,geometry,superficie,longitude,latitude,population
Lot. Douzi IV,"POLYGON ((3.1911555 36.728075999999994, 3.1911609 36.7279599, 3.1915398 36.72801329999999, 3.1925956999999996 36.727437599999995, 3.1927512999999994 36.7273813, 3.1925850999999996 36.725799499999994, 3.1905385999999996 36.7261025, 3.1899807 36.7261713, 3.1874379 36.72633679999999, 3.1875907999999997 36.7265389, 3.1877962 36.72672339999998, 3.1882881 36.72722009999999, 3.1889669 36.7276547, 3.1891107999999995 36.727674699999994, 3.18916 36.7277063, 3.1906565 36.727869399999996, 3.1908148999999995 36.7279599, 3.1909570000000005 36.728106100000005, 3.1911555 36.728075999999994))",0.11967532801020853,355165.5440418327,4401109.441516752,2021
Cité 5 Juillet,"POLYGON ((3.1982368999999995 36.7214777, 3.1983361 36.72127559999999, 3.1984622 36.7210348, 3.1984889999999995 36.7209423, 3.1983571999999993 36.7206762, 3.1982955 36.7206762, 3.1982955 36.7200502, 3.1982955 36.719999, 3.1983331 36.719966799999995, 3.1978132 36.7199621, 3.1977804999999995 36.7188574, 3.1989257000000006 36.71796739999999, 3.1972212999999994 36.7174126, 3.1967002000000004 36.717242999999996, 3.1965827999999994 36.71720479999999, 3.1934880999999997 36.71609240000001, 3.1933630999999996 36.7162731, 3.1933646 36.7164024, 3.1933738 36.71720199999999, 3.1937713999999997 36.71720119999999, 3.1937783999999994 36.718532399999994, 3.1948701999999995 36.71832, 3.1948647999999995 36.7186726, 3.1944360999999994 36.71875489999999, 3.1939906999999996 36.71883170000001, 3.1935818 36.7189437, 3.193555 36.7192059, 3.1933845 36.7197218, 3.1932610999999995 36.719855100000004, 3.1928213 36.72041389999999, 3.192671 36.718715599999996, 3.1926228 36.7185073, 3.1916785999999995 36.7185135, 3.1916732999999997 36.71863389999999, 3.1918003 36.71871799999999, 3.1907804999999994 36.71968989999999, 3.1907204999999994 36.7198916, 3.1905789 36.720074399999994, 3.1904930999999994 36.720027, 3.1900531999999995 36.720054899999994, 3.1900433 36.720945, 3.1900427999999996 36.72098749999999, 3.1900829999999996 36.721039099999985, 3.1901447000000003 36.72107780000001, 3.1902034 36.7210932, 3.1906238999999994 36.721139699999995, 3.1907160000000006 36.7211767, 3.1910497 36.72158749999999, 3.189793 36.72221979999998, 3.1898428999999995 36.722255100000005, 3.1899308000000004 36.7225318, 3.1899828999999995 36.7225814, 3.1900448 36.7225814, 3.1902587 36.7225483, 3.1904443 36.72259579999999, 3.1904942 36.7226754, 3.1905267999999998 36.722798, 3.190493 36.72313359999999, 3.1904791 36.7232895, 3.1912766 36.7233573, 3.1913402999999994 36.7233749, 3.1914061 36.7234003, 3.1914829 36.723437499999996, 3.1920485999999997 36.7231055, 3.1928345999999994 36.72310530000001, 3.1936101 36.72309009999999, 3.1938268999999995 36.72334419999999, 3.1941117 36.723068600000005, 3.1941947999999996 36.722963199999995, 3.1942131999999996 36.722925, 3.1943419 36.7224821, 3.1945193999999995 36.7223054, 3.1947442999999995 36.72212309999999, 3.1948998 36.72204779999999, 3.1952563 36.721956899999995, 3.1953057 36.72193409999999, 3.1953505 36.7218957, 3.1954504 36.72177310000001, 3.1957238999999995 36.72183179999999, 3.1963509 36.72189109999999, 3.1967885 36.72192479999999, 3.1970761 36.72193879999999, 3.1971072999999994 36.72194029999999, 3.1973379999999993 36.7219274, 3.1978073 36.7218586, 3.1978260999999994 36.7216716, 3.1982368999999995 36.7214777))",0.5581920590198213,355596.0418182793,4400166.497371842,9426
Cité Rabia Tahar,"POLYGON ((3.1786510999999997 36.7223897, 3.1795902 36.722969899999995, 3.1790775999999994 36.7234561, 3.1785571999999997 36.7234926, 3.1781683000000003 36.72320020000001, 3.1781361 36.7231572, 3.1781254 36.7231207, 3.1779858999999995 36.723269, 3.1779699999999997 36.723290799999994, 3.1777336999999997 36.723615099999996, 3.1777256999999994 36.72368180000001, 3.1777507 36.72370279999999, 3.1777704 36.7237193, 3.1779643999999996 36.7238822, 3.1776854999999995 36.724139699999995, 3.1776880999999997 36.72419779999999, 3.1778866000000003 36.7243439, 3.1778491 36.7246212, 3.1781602 36.724793700000006, 3.1784311 36.724574000000004, 3.1785060999999994 36.72467710000001, 3.1784953999999996 36.724861999999995, 3.1785249 36.724930699999994, 3.1785706 36.72498290000001, 3.1786563999999995 36.725028, 3.1793461000000005 36.72502289999999, 3.1798689 36.7250211, 3.1799627 36.7250125, 3.1800217999999996 36.725003900000004, 3.1800673999999995 36.7249888, 3.1801182999999997 36.7249631, 3.1801933999999994 36.72489639999999, 3.1803554999999997 36.72475940000001, 3.1814215999999997 36.7238581, 3.1815021 36.72379999999999, 3.1815692 36.723774199999994, 3.1816200999999995 36.72376349999999, 3.1817007 36.7237639, 3.1823046999999995 36.7238197, 3.1829103999999995 36.723875699999994, 3.1835111999999994 36.72337910000001, 3.1835729000000006 36.7233189, 3.1836050999999994 36.723258699999995, 3.1836373 36.72316839999999, 3.1836719999999996 36.7228519, 3.1836800999999997 36.72281319999999, 3.1837257999999995 36.7227707, 3.1839671999999997 36.7225621, 3.1824769999999996 36.721407899999996, 3.1824116 36.7213572, 3.1823503 36.7213097, 3.1822916 36.7212642, 3.1822376999999995 36.721222499999996, 3.182175 36.7211739, 3.1821114999999995 36.72112469999999, 3.1820126 36.7210481, 3.1819246 36.720979899999996, 3.1819043999999996 36.72096429999999, 3.1818885 36.7209303, 3.1818804 36.7208938, 3.1818857999999994 36.72086579999999, 3.1819098 36.7208267, 3.1819526999999996 36.720790199999996, 3.1819611999999995 36.72051809999999, 3.1817615 36.72040719999998, 3.1813868 36.7205773, 3.1810381 36.7201108, 3.1808827 36.7200274, 3.1807109 36.7202118, 3.1806786999999996 36.720246200000005, 3.1807244 36.7202854, 3.1804534000000007 36.7204956, 3.1804025 36.720556300000005, 3.1802309 36.72048099999999, 3.1800027999999996 36.72073429999999, 3.1804213 36.7210851, 3.1800778999999997 36.72141789999999, 3.1796112999999995 36.7210701, 3.1789326 36.7219963, 3.1788010999999994 36.7221747, 3.1786510999999997 36.7223897))",0.25013202001223805,354079.7846153245,4400538.379295736,4224
1577 Logts,"POLYGON ((3.1925922 36.7159931, 3.1927632 36.715824, 3.1932107999999997 36.7159786, 3.1934581999999994 36.7156548, 3.1934182 36.715584799999995, 3.1926394999999994 36.71554400000001, 3.1923739 36.715824, 3.1923411 36.7163432, 3.1925702999999994 36.71634900000001, 3.1925922 36.7159931))",0.006392337386268487,355422.31316897646,4399571.431036552,107
Cité AADL La Réconciliation Nationale,"POLYGON ((3.1999839 36.7200584, 3.1999647 36.720034899999995, 3.2002265 36.7198432, 3.2002397 36.71985539999999, 3.2004917999999996 36.719672599999996, 3.2005106 36.7196533, 3.2004986 36.7196337, 3.2004614 36.719599699999996, 3.2004225 36.719628, 3.2000633 36.719310300000004, 3.2000968999999997 36.7192848, 3.2000827 36.7192663, 3.2000603 36.71923149999999, 3.2000265999999997 36.71921280000001, 3.1999943 36.719217099999995, 3.1998634 36.71930269999999, 3.1991844 36.71980119999999, 3.1996604999999994 36.720233400000005, 3.1996963999999997 36.72024879999999, 3.1997859 36.720191699999994, 3.1997918 36.7201671, 3.1999839 36.7200584))",0.01012722960480935,356203.8896136936,4400113.119825807,171
Cité AADL La Réconciliation Nationale,"POLYGON ((3.2002565999999995 36.7207112, 3.2002813 36.7207223, 3.2003644999999996 36.72074210000001, 3.2003983999999996 36.720775399999994, 3.2004183999999998 36.7207865, 3.2004353 36.72077910000001, 3.201144 36.72027779999999, 3.2011563 36.720261699999995, 3.2011548 36.72024689999999, 3.2011517000000005 36.7202272, 3.2009744999999996 36.72006050000001, 3.2009374999999998 36.7200802, 3.2006109999999994 36.719795, 3.2006387 36.7197666, 3.2006187 36.7197406, 3.2005863 36.71971589999999, 3.2003783 36.7198592, 3.1997759999999995 36.720281499999984, 3.2000285999999996 36.7205038, 3.2002565999999995 36.7207112))",0.0115849531514704,356275.08554013143,4400187.5511246575,195
Résidence universitaire pour fille - 19 mai 1956 / السكن الجامعي لابنته - 19 مايو 1956,"POLYGON ((3.1755884999999995 36.7063423, 3.1744247 36.7063447, 3.1740666 36.7064265, 3.1721922000000005 36.70751539999999, 3.172071 36.7076179, 3.1714121 36.7086573, 3.1712428 36.70875579999999, 3.1705827 36.7096547, 3.1698727 36.7092917, 3.1692942999999993 36.708787999999984, 3.1692673999999994 36.70884199999999, 3.1685606 36.709257, 3.1680079999999995 36.7095258, 3.1683087999999997 36.7098339, 3.1690786999999996 36.71046710000001, 3.170923 36.71137670000001, 3.1710088 36.7113855, 3.1710194999999994 36.7114018, 3.1711243999999996 36.711404, 3.1712056 36.7114396, 3.1712676999999996 36.71150539999999, 3.1712772 36.711576099999995, 3.1720258 36.711934299999996, 3.1723245999999996 36.7116238, 3.1720327 36.711430299999996, 3.1719912 36.7109586, 3.1726341 36.710207, 3.1717958999999993 36.70975629999999, 3.1734170999999995 36.7078273, 3.1743116 36.7073062, 3.1757185999999997 36.7064864, 3.1755884999999995 36.7063423))",0.1760457921534736,353055.10626117175,4398653.409033972,2973
Cité 08 mai 1945 (SORECAL),"POLYGON ((3.1956642 36.7380651, 3.1957071 36.737848, 3.1956829 36.73769319999999, 3.1956131999999995 36.73755779999999, 3.1955193 36.73744389999999, 3.1953797999999995 36.737314899999994, 3.1952202999999995 36.73722510000001, 3.1950888 36.7371735, 3.1949708 36.737152, 3.1948085 36.73713440000001, 3.1946503 36.73713870000001, 3.193674 36.7372704, 3.1931236999999997 36.73700149999999, 3.1929766 36.7369302, 3.1933036999999995 36.73506999999999, 3.1936525 36.733093399999994, 3.1929118 36.7329142, 3.1927405999999996 36.73305469999999, 3.1923651 36.73279029999999, 3.1922374 36.7328546, 3.1919356 36.73264489999999, 3.191777 36.7326567, 3.1914963 36.732777199999994, 3.1912164 36.73278809999999, 3.1906107 36.73275819999999, 3.1902244999999994 36.73273559999999, 3.1895932999999994 36.7326718, 3.1897268999999997 36.7322129, 3.1894792999999995 36.7322011, 3.1895634999999998 36.7316387, 3.1894577 36.7316244, 3.1893167999999994 36.731554499999994, 3.1893385999999997 36.731462799999996, 3.1893036 36.731460299999995, 3.1893074999999995 36.7314497, 3.1889499 36.7313902, 3.1889351 36.7314101, 3.1888549 36.731429999999996, 3.1888345 36.731419, 3.1887448000000003 36.73144909999999, 3.1883932 36.731171499999995, 3.1885795 36.7309966, 3.1886711999999995 36.730687, 3.1888492999999998 36.730742199999995, 3.1890207 36.73073759999999, 3.1890663 36.730589599999995, 3.1891175999999994 36.730360899999994, 3.1893178 36.7303073, 3.1895369999999996 36.7303189, 3.1895987999999997 36.730266199999996, 3.1889857 36.729863900000005, 3.1888025999999994 36.7297872, 3.1886176 36.7297743, 3.1875139 36.7298282, 3.1860767999999995 36.7299362, 3.1857792 36.7314089, 3.1857704 36.731427100000005, 3.1857360999999997 36.731432, 3.1854754999999995 36.7313744, 3.1846094 36.731183099999996, 3.1842288 36.73109899999999, 3.1840516999999995 36.73105979999999, 3.1843000999999997 36.73256409999999, 3.1843154999999994 36.73265760000001, 3.1842373999999998 36.73275089999999, 3.1843779 36.73361179999999, 3.1843603 36.73372419999999, 3.1843735 36.73382029999999, 3.1843853 36.7338549, 3.1843872 36.7338902, 3.1845569 36.735014, 3.1845785999999996 36.7350352, 3.1845804 36.73506390000001, 3.1845708999999998 36.735088, 3.1846727999999995 36.7356538, 3.1847048000000004 36.7357896, 3.184838 36.7363592, 3.1850179999999995 36.7369411, 3.1851483 36.73741489999999, 3.1856836 36.737840799999994, 3.185632 36.73796960000001, 3.1860017 36.7382699, 3.1859850999999995 36.7386368, 3.1865842 36.7390874, 3.1868275 36.73920639999999, 3.1870516 36.739270999999995, 3.187215 36.7391239, 3.1873413999999998 36.739228399999995, 3.1875171 36.73908649999999, 3.1875813999999996 36.7386334, 3.1877945000000003 36.738494199999984, 3.1887641999999996 36.7386752, 3.1889158999999996 36.73870349999999, 3.1888956 36.7387727, 3.189593 36.738925299999984, 3.1899056 36.7386347, 3.1900853000000002 36.7387895, 3.1904661999999995 36.73879589999999, 3.1904206 36.739129099999985, 3.1903601 36.7391811, 3.1901335999999993 36.7392425, 3.1900571999999996 36.739654699999996, 3.1904871999999997 36.739479299999985, 3.1923918 36.739782399999996, 3.1933568999999995 36.7406154, 3.193564 36.7404939, 3.1938026999999996 36.7406251, 3.1942425999999995 36.74024680000001, 3.1940548 36.7400619, 3.1942184 36.739870599999996, 3.1941809 36.7398427, 3.1943660000000005 36.7393977, 3.1952363 36.7397249, 3.1955528 36.73860289999999, 3.1956642 36.7380651))",1.115900162852656,355029.79724755115,4402284.683093175,18845
Tribou Mahmoud,"POLYGON ((3.1842288 36.73109899999999, 3.1846094 36.731183099999996, 3.1854754999999995 36.7313744, 3.1857360999999997 36.731432, 3.1857704 36.731427100000005, 3.1857792 36.7314089, 3.1860767999999995 36.7299362, 3.1859967 36.7299413, 3.1845798 36.730062, 3.1840230999999997 36.72996259999999, 3.1837392999999996 36.7299012, 3.1839398999999995 36.73103789999999, 3.1840516999999995 36.73105979999999, 3.1842288 36.73109899999999))",0.03999695632841828,354546.91321692057,4401621.89179461,675
Promotion 282 lgts LPL (ENPI) SORECAL,"POLYGON ((3.1885368 36.73415, 3.1886252999999996 36.7341242, 3.1887058 36.73411990000001, 3.1887638 36.7341289, 3.1888022999999994 36.734134899999994, 3.1888648 36.7341018, 3.1892225 36.733799499999996, 3.1895593 36.7335005, 3.1898228 36.7335113, 3.1901482 36.7335213, 3.1901775 36.7332197, 3.1902244999999994 36.73273559999999, 3.1895932999999994 36.7326718, 3.1897268999999997 36.7322129, 3.1894792999999995 36.7322011, 3.189162 36.73261839999999, 3.1890920999999994 36.732633699999994, 3.1888842 36.73272049999999, 3.1877589999999993 36.73377, 3.1884443000000005 36.73422029999999, 3.1885368 36.73415))",0.03625633801042184,355007.4672369232,4401996.417637498,612
